"id","time","topic","type","indicator","value","frequency","unit"
"BE31","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.46","monthly","mm"
"BE31","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.33","monthly","mm"
"BE24","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.14","monthly","mm"
"BE24","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.59","monthly","mm"
"BE24","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.40","monthly","mm"
"BE32","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.01","monthly","mm"
"BE32","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.27","monthly","mm"
"BE32","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.12","monthly","mm"
"BE10","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","2.27","monthly","mm"
"BE10","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.27","monthly","mm"
"BE10","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.27","monthly","mm"
"BE21","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","2.37","monthly","mm"
"BE21","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","3.78","monthly","mm"
"BE21","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.10","monthly","mm"
"BE22","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","3.06","monthly","mm"
"BE22","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","3.94","monthly","mm"
"BE22","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.33","monthly","mm"
"BE23","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","1.89","monthly","mm"
"BE23","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.69","monthly","mm"
"BE23","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.33","monthly","mm"
"BE33","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","2.45","monthly","mm"
"BE33","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","3.12","monthly","mm"
"BE33","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.90","monthly","mm"
"BE34","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","1.62","monthly","mm"
"BE34","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.80","monthly","mm"
"BE34","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.36","monthly","mm"
"BE35","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","2.08","monthly","mm"
"BE35","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.71","monthly","mm"
"BE35","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.39","monthly","mm"
"BE25","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","1.83","monthly","mm"
"BE25","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.63","monthly","mm"
"BE25","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.19","monthly","mm"
"BE31","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","1.97","monthly","mm"
"BE31","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.95","monthly","mm"
"BE31","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.38","monthly","mm"
"BE24","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","1.95","monthly","mm"
"BE24","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","3.17","monthly","mm"
"BE24","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.56","monthly","mm"
"BE32","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","min","1.73","monthly","mm"
"BE32","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","max","2.18","monthly","mm"
"BE32","2015-07-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.91","monthly","mm"
"BE10","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.44","monthly","mm"
"BE10","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","2.44","monthly","mm"
"BE10","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.44","monthly","mm"
"BE21","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.26","monthly","mm"
"BE21","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.07","monthly","mm"
"BE21","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.62","monthly","mm"
"BE22","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.18","monthly","mm"
"BE22","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","2.99","monthly","mm"
"BE22","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.51","monthly","mm"
"BE23","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.69","monthly","mm"
"BE23","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.36","monthly","mm"
"BE23","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.01","monthly","mm"
"BE33","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.63","monthly","mm"
