id,time,topic,type,indicator,value,frequency,unit
DE916,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-7.15,monthly,°C
DE917,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.19,monthly,°C
DE917,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.15,monthly,°C
DE917,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.20,monthly,°C
DE917,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.11,monthly,°C
DEA52,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-2.79,monthly,°C
DEA52,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.15,monthly,°C
DEA52,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-1.29,monthly,°C
DEA52,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-1.04,monthly,°C
DEA53,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.53,monthly,°C
DEA53,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.03,monthly,°C
DEA53,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.98,monthly,°C
DEA53,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.81,monthly,°C
DEA54,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-2.67,monthly,°C
DEA54,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.47,monthly,°C
DEA54,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.18,monthly,°C
DEA54,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.24,monthly,°C
DEA55,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-1.09,monthly,°C
DEA55,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.17,monthly,°C
DEA55,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-0.74,monthly,°C
DEA55,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-0.95,monthly,°C
DEA56,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.59,monthly,°C
DEA56,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.49,monthly,°C
DEA56,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.67,monthly,°C
DEA56,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.34,monthly,°C
DE936,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-2.19,monthly,°C
DE936,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,0.87,monthly,°C
DE936,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-0.60,monthly,°C
DE936,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-0.47,monthly,°C
DE937,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.21,monthly,°C
DE937,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,0.83,monthly,°C
DE937,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-1.47,monthly,°C
DE937,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-1.38,monthly,°C
DE938,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-5.43,monthly,°C
DE938,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.79,monthly,°C
DE938,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.75,monthly,°C
DE938,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.09,monthly,°C
DE939,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-3.71,monthly,°C
DE939,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,0.31,monthly,°C
DE939,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-1.40,monthly,°C
DE939,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-1.30,monthly,°C
DE93A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.73,monthly,°C
DE93A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.69,monthly,°C
DE93A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.38,monthly,°C
DE93A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.51,monthly,°C
DE93B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-3.55,monthly,°C
DE93B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.43,monthly,°C
DE93B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.71,monthly,°C
DE93B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.78,monthly,°C
DE941,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-1.79,monthly,°C
DE941,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.25,monthly,°C
DE941,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-1.52,monthly,°C
DE941,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-1.52,monthly,°C
DE128,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.67,monthly,°C
DE128,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.69,monthly,°C
DE128,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.78,monthly,°C
DE128,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.49,monthly,°C
DE129,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-3.53,monthly,°C
DE129,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.71,monthly,°C
DE129,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.66,monthly,°C
DE129,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.73,monthly,°C
DE12A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-7.89,monthly,°C
DE12A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.85,monthly,°C
DE12A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.72,monthly,°C
DE12A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.25,monthly,°C
DEF0A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-5.29,monthly,°C
DEF0A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.87,monthly,°C
DEF0A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.30,monthly,°C
DEF0A,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.44,monthly,°C
DEF0B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.15,monthly,°C
DEF0B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.47,monthly,°C
DEF0B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.49,monthly,°C
DEF0B,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.35,monthly,°C
